event_id,completed_utc,commence_utc,home,away,home_score,away_score,winner
55ee0a20c48002519602e2362965c6e6,2026-08-29T19:41:09Z,2026-08-27T23:08:00Z,Toronto Blue Jays,Kansas City Royals,2,13,Kansas City Royals
4f28746c8d3ba89a48ef42722f1bbc9c,2026-08-29T19:41:09Z,2026-08-27T23:11:00Z,New York Mets,Milwaukee Brewers,2,8,Milwaukee Brewers
927a7b09cc5f1512d0324748164c0b5f,2026-08-29T19:41:09Z,2026-08-27T23:16:00Z,Atlanta Braves,Los Angeles Dodgers,1,0,Atlanta Braves
68a5f4cb0d65f2fc93321ae004027c46,2026-08-29T19:41:09Z,2026-08-27T23:16:00Z,New York Yankees,Houston Astros,1,5,Houston Astros
9c67e5d6aa08977aa9e9818a83cc6d79,2026-08-29T19:41:09Z,2026-08-28T01:46:00Z,San Francisco Giants,Arizona Diamondbacks,6,1,San Francisco Giants
a6d63d072ba391db5be1a628a064656c,2026-08-29T19:41:09Z,2026-08-28T18:21:00Z,Chicago Cubs,Cincinnati Reds,8,10,Cincinnati Reds
bb28f14c5f48561498ab3fabd1ebf47b,2026-08-29T19:41:09Z,2026-08-28T22:41:00Z,Detroit Tigers,Los Angeles Dodgers,1,2,Los Angeles Dodgers
1d34c8ba40aec1ca9cadb1ff7ef37e42,2026-08-29T19:41:09Z,2026-08-28T22:46:00Z,Washington Nationals,Miami Marlins,9,2,Washington Nationals
fab839164ecf4aec65df50e5ee9bbed3,2026-08-29T19:41:09Z,2026-08-28T23:11:00Z,Cleveland Guardians,Kansas City Royals,0,3,Kansas City Royals
0b16c66db57136bcbe0cb430b3315572,2026-08-29T19:41:09Z,2026-08-28T23:11:00Z,Tampa Bay Rays,San Diego Padres,9,4,Tampa Bay Rays
233ffa284e1672e4866733dd85fac3e5,2026-08-29T19:41:09Z,2026-08-28T23:12:00Z,New York Mets,Houston Astros,1,3,Houston Astros
2458fd8fd2cc9241175e46181d9b3066,2026-08-29T19:41:09Z,2026-08-28T23:16:00Z,New York Yankees,Boston Red Sox,1,0,New York Yankees
365be8fc27b2eb31c003fc150dde54a5,2026-08-29T19:41:09Z,2026-08-28T23:16:00Z,Toronto Blue Jays,Seattle Mariners,8,1,Toronto Blue Jays
6e66851b93b3cdcc4578b23ae9b93d6d,2026-08-29T19:41:09Z,2026-08-28T23:17:00Z,Atlanta Braves,Colorado Rockies,6,4,Atlanta Braves
57c478eb2e6623a9a63b654b20634fa1,2026-08-29T19:41:09Z,2026-08-28T23:41:00Z,Milwaukee Brewers,Texas Rangers,6,1,Milwaukee Brewers
58cbf4ef2d32ebf1fa4fa41564b795c0,2026-08-29T19:41:09Z,2026-08-29T00:11:00Z,Minnesota Twins,Chicago White Sox,4,7,Chicago White Sox
886fd41b6e8045d61119b579793ffbcc,2026-08-29T19:41:09Z,2026-08-29T00:16:00Z,St. Louis Cardinals,Pittsburgh Pirates,4,1,St. Louis Cardinals
36f6301129991d3a13de99fc29f5d4bf,2026-08-29T19:41:09Z,2026-08-29T01:39:00Z,Los Angeles Angels,Philadelphia Phillies,3,5,Philadelphia Phillies
ef43a82246c16635651619951f3fb493,2026-08-29T19:41:09Z,2026-08-29T01:41:00Z,Athletics,Baltimore Orioles,3,4,Baltimore Orioles
94fdf397f1e71919d8a7a9db4c9f81d8,2026-08-29T19:41:09Z,2026-08-29T02:16:00Z,San Francisco Giants,Arizona Diamondbacks,6,10,Arizona Diamondbacks
