event_id,completed_utc,commence_utc,home,away,home_score,away_score,winner
8c94552d022acec4a0458d70c19d3da9,2026-09-10T08:16:31Z,2026-09-10T00:23:22Z,Seattle Seahawks,New England Patriots,13,10,Seattle Seahawks
acc580d74344ea3b31bbcdd057fe6a9c,2026-09-11T08:16:50Z,2026-09-11T00:37:25Z,Los Angeles Rams,San Francisco 49ers,7,27,San Francisco 49ers
e55c6fe19fce094ce214c8b0e5b504e9,2026-09-14T08:17:10Z,2026-09-13T17:03:55Z,Jacksonville Jaguars,Cleveland Browns,34,10,Jacksonville Jaguars
ed6d24ff979f9c71979fead577b0b3f7,2026-09-14T08:17:10Z,2026-09-13T17:03:58Z,Cincinnati Bengals,Tampa Bay Buccaneers,33,27,Cincinnati Bengals
95c01d1bb797d6df14824b106c5a9130,2026-09-14T08:17:10Z,2026-09-13T17:04:05Z,Pittsburgh Steelers,Atlanta Falcons,20,13,Pittsburgh Steelers
7dddb296a42e7a41a774b24bd1709ce1,2026-09-14T08:17:10Z,2026-09-13T17:04:40Z,Tennessee Titans,New York Jets,10,23,New York Jets
7e09efed7e12c659b82740b67ce2f9a1,2026-09-14T08:17:10Z,2026-09-13T17:04:47Z,Houston Texans,Buffalo Bills,31,36,Buffalo Bills
fc362aff0d889ec52d358307a70c32ed,2026-09-14T08:17:10Z,2026-09-13T17:04:51Z,Carolina Panthers,Chicago Bears,37,59,Chicago Bears
b6cfdcbafa61ce220ba87dc2d9b80c77,2026-09-14T08:17:10Z,2026-09-13T17:05:06Z,Indianapolis Colts,Baltimore Ravens,23,41,Baltimore Ravens
c1d3fcec25aaeb06ebd2244d33d338e0,2026-09-14T08:17:10Z,2026-09-13T17:05:30Z,Detroit Lions,New Orleans Saints,31,30,Detroit Lions
17885cb8dcade8f6c3bce14b2de805e8,2026-09-14T08:17:10Z,2026-09-13T20:25:26Z,Philadelphia Eagles,Washington Commanders,24,22,Philadelphia Eagles
cb77efed7e711d25a72c1a2a0a1af119,2026-09-14T08:17:10Z,2026-09-13T20:25:29Z,Minnesota Vikings,Green Bay Packers,39,22,Minnesota Vikings
c5d95f48a16849ab6bebc68fbbfcb74a,2026-09-14T08:17:10Z,2026-09-13T20:25:36Z,Las Vegas Raiders,Miami Dolphins,27,13,Las Vegas Raiders
1edfa5ceaa1ad2cb57df1c1b908731f6,2026-09-14T08:17:10Z,2026-09-13T20:25:44Z,Los Angeles Chargers,Arizona Cardinals,14,26,Arizona Cardinals
3e646c7479c57f5d9752d8c7dfe7059b,2026-09-14T08:17:10Z,2026-09-14T00:24:50Z,New York Giants,Dallas Cowboys,28,20,New York Giants
5ad8135dc2b5f27de0b777acd317855a,2026-09-15T08:18:06Z,2026-09-15T00:16:13Z,Kansas City Chiefs,Denver Broncos,31,10,Kansas City Chiefs
56e8897681915f7ec92baeee952bb1ae,2026-09-18T08:15:51Z,2026-09-18T00:17:36Z,Buffalo Bills,Detroit Lions,41,31,Buffalo Bills
9d14f87600f6edc74dbcb5c74edf6246,2026-09-21T08:16:51Z,2026-09-20T17:02:22Z,New England Patriots,Pittsburgh Steelers,20,3,New England Patriots
2143ade9684fd876b68a4e8cbf451f05,2026-09-21T08:16:51Z,2026-09-20T17:02:38Z,Baltimore Ravens,New Orleans Saints,17,24,New Orleans Saints
0283a29e1b38ef78b29b904fd56a16dd,2026-09-21T08:16:51Z,2026-09-20T17:02:38Z,Chicago Bears,Minnesota Vikings,3,9,Minnesota Vikings
36ad2fa722f4915ef23d2c81351261de,2026-09-21T08:16:51Z,2026-09-20T17:02:38Z,Houston Texans,Cincinnati Bengals,6,20,Cincinnati Bengals
0636ebff776d43f8c829a36713c80b22,2026-09-21T08:16:51Z,2026-09-20T17:02:40Z,Tampa Bay Buccaneers,Cleveland Browns,19,23,Cleveland Browns
fafc649c455e32a0f2ba1bd06e2039bc,2026-09-21T08:16:51Z,2026-09-20T17:02:50Z,Tennessee Titans,Philadelphia Eagles,20,24,Philadelphia Eagles
aee7eae1849ebb103b9bf233e9741392,2026-09-21T08:16:51Z,2026-09-20T17:02:58Z,Atlanta Falcons,Carolina Panthers,3,34,Carolina Panthers
4aeee070bb6ec60bdfae4dede61b9014,2026-09-21T08:16:51Z,2026-09-20T17:03:51Z,New York Jets,Green Bay Packers,17,20,Green Bay Packers
71b3b83747589efdc5baef2c5cf811bf,2026-09-21T08:16:51Z,2026-09-20T20:05:18Z,Los Angeles Chargers,Las Vegas Raiders,14,26,Las Vegas Raiders
1fd6628c781f556a7a19638e97d7107f,2026-09-21T08:16:51Z,2026-09-20T20:05:33Z,Denver Broncos,Jacksonville Jaguars,20,13,Denver Broncos
85ef85098ddd22fe4ecf45e7e3c0a9c0,2026-09-21T08:16:51Z,2026-09-20T20:25:36Z,Dallas Cowboys,Washington Commanders,37,20,Dallas Cowboys
4dd8020192a544385db42374e5555303,2026-09-21T08:16:51Z,2026-09-20T20:25:38Z,Arizona Cardinals,Seattle Seahawks,7,31,Seattle Seahawks
68bc55903f50af4af4766adcc89fcc61,2026-09-21T08:16:51Z,2026-09-20T20:26:23Z,San Francisco 49ers,Miami Dolphins,35,13,San Francisco 49ers
50bc247030707d823b9c3581d7eb5760,2026-09-21T08:16:51Z,2026-09-21T00:22:43Z,Kansas City Chiefs,Indianapolis Colts,33,30,Kansas City Chiefs
32367f882fac1a0c20a6335619922025,2026-09-22T08:16:06Z,2026-09-22T00:16:43Z,Los Angeles Rams,New York Giants,28,6,Los Angeles Rams
